+-----------------------------------+----------+-----------+------------+-------------+---------------+---------+----------------+--------------+---------------+--------------+-----------+----------------+-----------------+----------------+-------------+-----------+------------+---------------+------------+--------------+-----------------+-------------+-------------+-----------------+-----------------+------------------+-----------------+--------------+----------+-----------+--------------+------------------+-----------------+-----------------+---------------+---------------+------------+----------+----------+------------+------------+-------------+-------------+----------------+------------+
|             FdGrp_desc            | GI Value | Water_(g) | Energ_Kcal | Protein_(g) | Lipid_Tot_(g) | Ash_(g) | Carbohydrt_(g) | Fiber_TD_(g) | Sugar_Tot_(g) | Calcium_(mg) | Iron_(mg) | Magnesium_(mg) | Phosphorus_(mg) | Potassium_(mg) | Sodium_(mg) | Zinc_(mg) | Copper_mg) | Selenium_(µg) | Vit_C_(mg) | Thiamin_(mg) | Riboflavin_(mg) | Niacin_(mg) | Vit_B6_(mg) | Folate_Tot_(µg) | Folic_Acid_(µg) | Food_Folate_(µg) | Folate_DFE_(µg) | Vit_B12_(µg) | Vit_A_IU | Vit_A_RAE | Retinol_(µg) | Alpha_Carot_(µg) | Beta_Carot_(µg) | Beta_Crypt_(µg) | Lycopene_(µg) | Lut+Zea_ (µg) | Vit_E_(mg) | Vit_D_µg | Vit_D_IU | Vit_K_(µg) | FA_Sat_(g) | FA_Mono_(g) | FA_Poly_(g) | Cholestrl_(mg) | Refuse_Pct |
+-----------------------------------+----------+-----------+------------+-------------+---------------+---------+----------------+--------------+---------------+--------------+-----------+----------------+-----------------+----------------+-------------+-----------+------------+---------------+------------+--------------+-----------------+-------------+-------------+-----------------+-----------------+------------------+-----------------+--------------+----------+-----------+--------------+------------------+-----------------+-----------------+---------------+---------------+------------+----------+----------+------------+------------+-------------+-------------+----------------+------------+
|       Dairy and Egg Products      |  31.000  |   59.800  |  181.000   |    9.000    |     10.390    |  1.620  |     4.760      |    0.000     |     3.500     |   152.000    |   0.190   |     16.000     |     159.000     |    132.000     |   187.000   |   0.740   |   0.029    |     7.700     |   0.000    |    0.029     |      0.215      |    0.100    |    0.047    |      9.000      |      0.000      |      9.000       |      9.000      |    0.500     | 410.000  |   97.000  |    95.000    |      0.000       |      12.000     |      0.000      |     0.000     |     0.000     |   0.185    |  0.100   |  4.000   |   1.100    |   5.647    |    2.458    |    0.420    |     38.000     |   0.000    |
|    Legumes and Legume Products    |  38.250  |   58.780  |  196.000   |    19.365   |     10.190    |  1.715  |     9.710      |    4.350     |     3.460     |    60.500    |   1.900   |     33.000     |     249.000     |    304.500     |   203.000   |   1.460   |   0.500    |     7.400     |   0.000    |    0.136     |      0.171      |    6.848    |    0.256    |      49.500     |      0.000      |      49.500      |      56.000     |    0.000     |  0.000   |   0.000   |    0.000     |      0.000       |      0.000      |      0.000      |     0.000     |     0.000     |   1.950    |  0.000   |  0.000   |   0.400    |   1.425    |    3.486    |    4.666    |     0.000      |   0.000    |
|               Sweets              |  49.000  |   43.735  |  229.500   |    3.100    |     3.600     |  0.900  |     50.165     |    0.700     |     36.160    |    83.000    |   0.710   |     14.000     |      95.000     |    199.000     |    76.000   |   0.350   |   0.080    |     1.900     |   0.550    |    0.040     |      0.110      |    0.116    |    0.041    |      5.000      |      0.000      |      5.000       |      5.000      |    0.150     |  31.000  |   1.000   |    0.000     |      0.000       |      3.000      |      0.000      |     0.000     |     0.000     |   0.140    |  0.000   |  0.000   |   0.300    |   2.326    |    0.483    |    0.100    |     1.000      |   0.000    |
|             Beverages             |  50.000  |   87.630  |   49.000   |    0.220    |     0.000     |  0.130  |     11.150     |    0.100     |     4.600     |    10.000    |   0.080   |     3.000      |      2.000      |     72.000     |    29.000   |   0.020   |   0.007    |     0.100     |   32.000   |    0.003     |      0.007      |    0.028    |    0.019    |      0.000      |      0.000      |      0.000       |      0.000      |    0.000     |  10.000  |   0.000   |    0.000     |      0.000       |      4.000      |      0.000      |     0.000     |     5.000     |   0.180    |  0.000   |  0.000   |   0.650    |   0.000    |    0.000    |    0.000    |     0.000      |   0.000    |
|           Fats and Oils           |  50.000  |   62.700  |  227.000   |    0.300    |     19.200    |  2.400  |     6.700      |    0.000     |     3.600     |    7.000     |   0.130   |     2.000      |      14.000     |     33.000     |   773.000   |   0.110   |   0.001    |     1.600     |   0.000    |    0.010     |      0.010      |    0.020    |    0.001    |      2.000      |      0.000      |      2.000       |      2.000      |    0.000     |  5.000   |   1.000   |    1.000     |      0.000       |      1.000      |      0.000      |     0.000     |     0.000     |   2.400    |  0.000   |  0.000   |   7.000    |   2.880    |    4.500    |    7.994    |     0.000      |   0.000    |
|      Fruits and Fruit Juices      |  47.000  |   83.460  |   60.000   |    0.640    |     0.190     |  0.430  |     15.230     |    1.950     |     12.100    |    13.000    |   0.290   |     11.000     |      14.000     |    158.000     |    2.000    |   0.100   |   0.059    |     0.400     |   9.300    |    0.028     |      0.026      |    0.336    |    0.047    |      6.000      |      0.000      |      6.000       |      6.000      |    0.000     |  73.000  |   4.000   |    0.000     |      0.000       |      32.000     |      0.000      |     0.000     |     68.000    |   0.225    |  0.000   |  0.000   |   3.300    |   0.017    |    0.030    |    0.064    |     0.000      |   0.000    |
|           Pork Products           |  41.000  |   68.750  |  143.000   |    19.970   |     6.400     |  3.975  |     0.905      |    0.000     |     0.600     |    19.500    |   0.435   |     19.000     |     198.000     |    506.000     |   969.500   |   0.965   |   0.050    |     33.100    |   0.000    |    0.338     |      0.100      |    5.104    |    0.144    |      2.500      |      0.000      |      2.500       |      2.500      |    0.320     |  18.500  |   5.500   |    5.500     |      0.000       |      0.000      |      0.000      |     0.000     |     0.000     |   0.310    |  0.300   |  12.500  |   0.100    |   1.992    |    3.466    |    0.635    |     75.000     |   33.000   |
|          Poultry Products         |  50.000  |   68.650  |  165.000   |    18.700   |     7.950     |  1.810  |     1.000      |    0.000     |     0.000     |    14.000    |   1.800   |     17.000     |     217.000     |    250.000     |   536.000   |   1.460   |   0.073    |     24.700    |   0.000    |    0.100     |      0.129      |    5.710    |    0.280    |      12.000     |      0.000      |      9.000       |      12.000     |    0.270     |  0.000   |   0.000   |    0.000     |      0.000       |      0.000      |      0.000      |     0.000     |     0.000     |   0.240    |  0.150   |  7.000   |   8.250    |   2.200    |    3.150    |    1.750    |     62.000     |   0.000    |
|             Fast Foods            |  67.400  |   55.975  |  206.000   |    10.725   |     9.750     |  2.020  |     20.230     |    2.900     |     1.570     |   105.000    |   1.670   |     22.000     |     165.000     |    179.000     |   560.000   |   0.940   |   0.069    |     15.700    |   0.250    |    0.185     |      0.126      |    4.461    |    0.102    |      52.000     |      28.000     |      24.000      |      71.000     |    0.275     |  88.000  |   11.000  |    23.000    |      0.000       |      48.000     |      0.000      |    347.000    |     10.000    |   0.400    |  0.100   |  2.000   |   9.600    |   3.561    |    3.010    |    2.034    |     25.000     |   0.000    |
